"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.614850292E0;-9.401246881E-1;8.227090895E-1;2.683170319E-1
2.624812292E0;-3.708847958E-1;2.077900468E0;5.474281700E-1
2.634774292E0;9.741654235E-1;2.928999544E0;-1.963625117E-1
2.644735292E0;1.550108564E0;2.231786905E0;-7.170173045E-1
2.654697292E0;1.327978688E0;1.608815778E0;-3.032002779E-1
2.664658292E0;1.240772730E0;2.318678284E0;-3.009295117E-1
2.674620292E0;8.062655497E-1;3.026314754E0;-5.780849755E-1
2.684582292E0;1.902350682E-1;3.256617867E0;-8.042038945E-1
2.694543292E0;-2.080661523E-1;3.080218481E0;-8.318739422E-1
2.704505292E0;-3.873879772E-1;2.437790160E0;-6.960467771E-1
2.714466292E0;-2.171714365E-1;1.728967874E0;-6.358765161E-1
2.724428292E0;1.840311724E-1;1.084382515E0;-1.069482640E0
2.734389292E0;1.045413162E0;4.414250207E-1;-1.755287361E0
2.744351292E0;1.697150835E0;-1.072005129E-1;-9.081298935E-1
2.754313292E0;1.866832940E0;-3.413768220E-1;1.685693800E-1
2.764274292E0;2.164683089E0;8.718198538E-4;6.881354213E-1
2.774236292E0;2.911859601E0;4.882448459E-1;8.950555924E-1
2.784197292E0;3.615076160E0;8.837031502E-1;2.831081120E-1
2.794159292E0;4.155219723E0;1.034619786E0;-3.404096925E-1
2.804121292E0;4.450036921E0;1.341110365E0;-8.821717644E-1
2.814082292E0;4.417069734E0;1.652538334E0;-1.020038584E0
2.824044292E0;3.861017067E0;1.266797517E0;-1.391755439E0
2.834005292E0;3.283013368E0;4.461688668E-1;-1.726179922E0
2.843967292E0;2.740303463E0;-5.065770364E-1;-1.932405370E0
2.853928292E0;2.610632100E0;-9.780380344E-1;-1.745379839E0
2.863890292E0;2.868249312E0;-1.740529574E0;-1.358029869E0
2.873852292E0;3.523985896E0;-2.512546812E0;-1.468316542E0
2.883813292E0;4.290413196E0;-2.324317923E0;-1.348984226E0
2.893775292E0;4.988438013E0;-1.812522247E0;-6.165643322E-1
2.903736292E0;5.295965889E0;-1.213855657E0;-2.742858513E-1
2.913698292E0;5.080566743E0;-6.749984819E-1;-5.430870875E-1
2.923660292E0;4.339046243E0;-3.459668863E-1;-5.751017626E-1
2.933621292E0;3.307631316E0;-1.690242934E-1;-3.753784541E-1
2.943583292E0;1.778492621E0;-1.577654797E-1;1.411845303E-1
2.953544292E0;4.120494863E-1;-8.087868690E-2;5.327351403E-1
2.963506292E0;-3.995770830E-1;2.985529840E-1;8.245516934E-2
2.973467292E0;-9.552821329E-1;5.547294420E-1;-3.679652079E-1
2.983429292E0;-1.185286454E0;6.629374301E-1;-7.612007663E-2
2.993391292E0;-1.205592372E0;8.130360407E-1;4.981454976E-1
3.003352292E0;-1.299505964E0;6.866046202E-1;9.669656007E-1
3.013314292E0;-1.403384674E0;5.394389731E-1;6.338767684E-1
3.023275292E0;-1.103654645E0;1.363641441E0;1.635499839E-1
3.033237292E0;-8.370414922E-1;2.112481486E0;9.399539495E-1
3.043198292E0;-8.264141777E-1;2.845635790E0;1.123530647E0
3.053160292E0;-1.124919507E0;3.692151818E0;-1.448238373E-2
3.063122292E0;-9.723422617E-1;4.618550168E0;-1.126411424E0
3.073083292E0;-3.124151243E-1;4.851351796E0;-1.472818752E0
3.083045292E0;-5.291752823E-1;5.213536520E0;-1.680703640E0
3.093006292E0;-7.304824188E-2;5.563850811E0;-3.837898931E-1
3.102968292E0;1.066762223E0;5.436700183E0;-7.002464667E-2
3.112930292E0;2.922203325E0;5.159038131E0;-7.137169898E-1
3.122891292E0;4.064493155E0;4.814539481E0;-1.059279541E0
3.132853292E0;3.582130316E0;3.730056394E0;-9.602829641E-1
3.142814292E0;3.183791381E0;1.717223157E0;1.130134639E0
3.152776292E0;2.654901955E0;1.399590123E0;1.761847352E0
3.162737292E0;9.350724746E-1;-4.797716457E-1;1.472442630E0
3.172699292E0;-4.217788146E0;-1.215053751E1;3.263767550E0
3.182661292E0;-1.011934577E1;-2.879771250E1;1.133362302E0
3.192622292E0;-1.732962107E0;-2.185850360E1;3.169539378E0
3.202584292E0;7.881781236E0;-5.505579799E0;2.797325510E0
3.212545292E0;1.795927556E0;7.610057616E-1;4.132785418E0
3.222507292E0;-4.309537100E0;3.067079787E0;3.216026204E0
3.232469292E0;-6.263859004E0;2.966825182E0;2.468883606E0
3.242430292E0;-4.164254256E0;3.035490205E0;4.114634199E0
3.252392292E0;-2.162159869E0;3.146824114E0;3.882559379E0
3.262353292E0;-2.359084883E0;2.859598356E0;2.971901442E0
3.272315292E0;-2.409748083E0;3.229212552E0;2.347549788E0
3.282276292E0;-2.663912514E0;3.253614737E0;2.239333029E0
3.292238292E0;-2.890194205E0;3.158470598E0;2.248335402E0
3.302200292E0;-2.611371188E0;3.388880716E0;2.187797132E0
3.312161292E0;-2.304718933E0;3.360633987E0;1.973991061E0
