"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.701107083E0;4.122726746E0;-8.528065796E0;5.528004456E-1
1.711140083E0;3.847449188E0;-8.348589020E0;8.066725159E-1
1.721172083E0;3.878883820E0;-7.965086517E0;1.057850189E0
1.731204083E0;3.814667358E0;-7.500153351E0;1.101858673E0
1.741237083E0;3.584745483E0;-7.060068512E0;8.746311951E-1
1.751269083E0;3.365002441E0;-6.641838226E0;7.165599060E-1
1.761302083E0;3.252436523E0;-6.350693665E0;5.409750366E-1
1.771334083E0;3.239862671E0;-6.198160858E0;7.342231750E-1
1.781367083E0;3.490142212E0;-6.012097778E0;1.099763031E0
1.791399083E0;3.612437897E0;-5.933361511E0;1.345102844E0
1.801431083E0;3.449576569E0;-6.045328674E0;1.307081909E0
1.811464083E0;3.081791382E0;-6.128405914E0;1.311422882E0
1.821496083E0;2.785856781E0;-6.096073151E0;1.396745453E0
1.831529083E0;2.817141724E0;-5.868246918E0;1.315464478E0
1.841561083E0;2.968027954E0;-5.797893219E0;1.069825287E0
1.851594083E0;3.356470184E0;-5.960006104E0;8.168513489E-1
1.861626083E0;3.722159729E0;-6.152206421E0;5.325924683E-1
1.871658083E0;3.910617828E0;-6.320456543E0;1.715432739E-1
1.881691083E0;4.188140717E0;-6.481371918E0;-2.594105530E-1
1.891723083E0;4.434079285E0;-6.695576477E0;-6.816824341E-1
1.901756083E0;4.523742828E0;-7.292684784E0;-1.256487122E0
1.911788083E0;4.381538544E0;-8.295898590E0;-1.718875580E0
1.921821083E0;3.832031250E0;-9.150471497E0;-1.800006866E0
1.931853083E0;3.429667969E0;-9.773475952E0;-1.956880646E0
1.941885083E0;2.901117096E0;-1.025592270E1;-2.227667542E0
1.951918083E0;2.071841583E0;-1.071861053E1;-2.386786652E0
1.961950083E0;1.838027802E0;-1.121946899E1;-2.299069061E0
1.971983083E0;2.399210815E0;-1.138352783E1;-1.892065430E0
1.982015083E0;3.127147064E0;-1.110884903E1;-1.311123505E0
1.992048083E0;3.464695129E0;-1.112456635E1;-1.020428009E0
2.002080083E0;3.293301544E0;-1.135643417E1;-6.908134460E-1
2.012112083E0;3.109783173E0;-1.158306290E1;-1.597178650E-1
2.022145083E0;3.101550293E0;-1.184861069E1;6.095324707E-1
2.032177083E0;3.188968506E0;-1.202374649E1;1.559606781E0
2.042210083E0;3.457959137E0;-1.199635345E1;2.448907471E0
2.052242083E0;4.019441528E0;-1.174682236E1;3.058739319E0
2.062275083E0;4.670288086E0;-1.174382858E1;3.211870880E0
2.072307083E0;5.396577759E0;-1.202539307E1;3.469485168E0
2.082340083E0;5.773044891E0;-1.194545929E1;4.260440369E0
2.092372083E0;5.630840607E0;-1.183618652E1;4.346361694E0
2.102404083E0;5.390889587E0;-1.186941742E1;3.921994171E0
2.112437083E0;5.197641449E0;-1.168380341E1;3.611839142E0
2.122469083E0;4.960684204E0;-1.146900009E1;3.480562134E0
2.132502083E0;4.653522949E0;-1.138861725E1;3.523822174E0
2.142534083E0;4.187242584E0;-1.123129440E1;3.585793304E0
2.152567083E0;3.633993073E0;-1.091949280E1;3.380570068E0
2.162599083E0;2.961142273E0;-1.067684738E1;3.170407104E0
2.172631083E0;2.101330261E0;-1.064256866E1;2.954855347E0
2.182664083E0;1.559606781E0;-1.081920135E1;2.879561920E0
2.192696083E0;1.572779388E0;-1.079929276E1;3.022215271E0
2.202729083E0;1.618135071E0;-1.118084930E1;2.761307831E0
2.212761083E0;1.418001251E0;-1.113055389E1;2.565065918E0
2.222794083E0;8.548722839E-1;-1.063313828E1;1.523232422E0
2.232826083E0;6.795867920E-1;-1.061143341E1;6.894662476E-1
2.242858083E0;3.879931641E-1;-1.064152084E1;7.030879211E-1
2.252891083E0;-1.555265808E-1;-1.066756668E1;1.075663147E0
2.262923750E0;2.022294617E-1;-1.030427216E1;1.743574219E0
2.272956750E0;5.676196289E-1;-1.013602203E1;1.775757294E0
2.282988750E0;1.197809143E0;-9.409283295E0;1.139580231E0
2.293021750E0;2.092798004E0;-8.763376465E0;3.915856934E-1
2.303053750E0;2.708467712E0;-8.398884430E0;1.029858398E-1
2.313086750E0;2.989134064E0;-8.199798431E0;-9.011260986E-2
2.323118750E0;3.303330688E0;-8.161029053E0;4.026626587E-2
2.333150750E0;3.827690277E0;-7.904761963E0;5.882766724E-2
2.343183750E0;4.149521027E0;-7.453300781E0;-8.053253174E-2
