"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
4.617687000E-1;3.570091486E0;-4.111766815E0;3.653541088E0
4.642163570E-1;3.311666489E0;-4.315156460E0;3.249154091E0
4.666649500E-1;3.139084101E0;-4.439882278E0;2.918645382E0
4.691142210E-1;2.990729094E0;-4.549952030E0;2.636292458E0
4.715627630E-1;2.871088028E0;-4.600201607E0;2.375175476E0
4.740104190E-1;2.794517756E0;-4.645665169E0;2.109572172E0
4.764589610E-1;2.787339211E0;-4.643272400E0;1.958525300E0
4.789082840E-1;2.842374086E0;-4.760520458E0;1.913061738E0
4.813567730E-1;2.890230656E0;-4.794020176E0;1.862812400E0
4.838044820E-1;2.777767897E0;-4.825126648E0;1.968096614E0
4.862530230E-1;2.626721144E0;-4.846662045E0;2.018645048E0
4.887023460E-1;2.363510609E0;-4.976173878E0;2.035394669E0
4.911508360E-1;2.150549412E0;-5.076672554E0;2.004287958E0
4.935984920E-1;1.956431627E0;-5.162814140E0;1.980060697E0
4.960470860E-1;1.767398596E0;-5.313561916E0;2.004287958E0
4.984964090E-1;1.635793328E0;-5.452345371E0;1.975275040E0
5.009448980E-1;1.527817249E0;-5.622535229E0;1.987538338E0
5.033925550E-1;1.540080428E0;-5.684748173E0;1.994716763E0
5.058411480E-1;1.626222134E0;-5.773283005E0;2.061715841E0
5.082904190E-1;1.741077542E0;-5.866602898E0;2.193320990E0
5.107389610E-1;1.901396751E0;-5.907280922E0;2.334497690E0
5.131866170E-1;2.040180445E0;-5.952744484E0;2.485245466E0
5.156351590E-1;2.172084808E0;-5.924030781E0;2.612364054E0
5.180844820E-1;2.236690998E0;-6.007779598E0;2.681756020E0
5.205329710E-1;2.289333105E0;-6.118148327E0;2.679363251E0
5.229806800E-1;2.258226395E0;-6.302395821E0;2.559721947E0
5.254292210E-1;2.267797709E0;-6.419643879E0;2.442174673E0
5.278785440E-1;2.210369825E0;-6.603891373E0;2.363211393E0
5.303270340E-1;2.246262312E0;-6.769295216E0;2.293819666E0
5.327746900E-1;2.353939295E0;-6.908079147E0;2.219642162E0
5.352232840E-1;2.521436930E0;-7.018148899E0;2.174178362E0
5.376726070E-1;2.811267614E0;-7.140182972E0;2.212463617E0
5.401210960E-1;3.110370398E0;-7.262516022E0;2.253141642E0
5.425687530E-1;3.455235958E0;-7.415656567E0;2.336890459E0
5.450173460E-1;3.739981890E0;-7.585546970E0;2.494816780E0
5.474666170E-1;4.111168385E0;-7.690831184E0;2.739183664E0
5.499151590E-1;4.544568539E0;-7.801199913E0;3.071786165E0
5.523628150E-1;4.910969257E0;-7.777271748E0;3.476472139E0
5.548113570E-1;5.327320576E0;-7.590332508E0;3.926621914E0
5.572606800E-1;5.770291805E0;-7.324729443E0;4.225724697E0
5.597092210E-1;6.203691959E0;-7.082755089E0;4.496412754E0
5.621568780E-1;6.601199627E0;-6.850651264E0;4.733302116E0
5.646054190E-1;6.972086906E0;-6.671189308E0;4.982454777E0
5.670547420E-1;7.302595615E0;-6.493821621E0;5.260022163E0
5.695032320E-1;7.642376423E0;-6.290431499E0;5.559424400E0
5.719508880E-1;8.006384850E0;-6.075077534E0;5.868098259E0
5.743994820E-1;8.427820206E0;-5.766104221E0;6.071787357E0
5.768488050E-1;8.887541771E0;-5.373382568E0;6.260820389E0
5.792972940E-1;9.419047356E0;-4.968995094E0;6.502794743E0
5.817449500E-1;1.004148006E1;-4.528416634E0;6.660720825E0
5.841935440E-1;1.067827034E1;-4.128516197E0;6.773183823E0
5.866428150E-1;1.131027412E1;-3.783650875E0;6.844968319E0
5.890913570E-1;1.184177971E1;-3.472583771E0;6.919145584E0
5.915390130E-1;1.228714466E1;-3.235395432E0;6.923931599E0
5.939875550E-1;1.265803146E1;-3.070290565E0;6.864110947E0
5.964368780E-1;1.295264816E1;-2.833401203E0;6.804290295E0
5.988854190E-1;1.320628738E1;-2.653640270E0;6.751648426E0
6.013330750E-1;1.347697544E1;-2.457428932E0;6.655935287E0
6.037816170E-1;1.377847099E1;-2.222932339E0;6.576972008E0
6.062309400E-1;1.408026600E1;-1.990529299E0;6.545865536E0
6.086794300E-1;1.443440342E1;-1.823031783E0;6.512365818E0
6.111271380E-1;1.480558968E1;-1.710569143E0;6.471388817E0
6.135756800E-1;1.515763378E1;-1.641177177E0;6.442675114E0
6.160250030E-1;1.550698662E1;-1.624427438E0;6.394818306E0
6.184734920E-1;1.577288914E1;-1.614856124E0;6.332605362E0
6.209211480E-1;1.594756508E1;-1.605284929E0;6.265605927E0
6.233697420E-1;1.606002808E1;-1.497308731E0;6.153143406E0
6.258190130E-1;1.615604019E1;-1.339382529E0;6.088537216E0
6.282675550E-1;1.619432449E1;-1.124028444E0;5.995217323E0
6.307152110E-1;1.621586037E1;-9.155537486E-1;5.937789440E0
6.331637530E-1;1.626132393E1;-7.384848595E-1;5.829813480E0
6.356130750E-1;1.630200195E1;-6.690930128E-1;5.724529266E0
6.380616170E-1;1.633789444E1;-7.121638656E-1;5.635994434E0
6.405092730E-1;1.633550072E1;-8.030911088E-1;5.533103466E0
6.429578150E-1;1.627807426E1;-9.562317729E-1;5.434997559E0
6.454071380E-1;1.623978806E1;-1.138385415E0;5.346164227E0
6.478556280E-1;1.618714523E1;-1.365703583E0;5.262415409E0
6.503033360E-1;1.612971878E1;-1.602892041E0;5.099703312E0
6.527518780E-1;1.608874130E1;-1.842174292E0;4.958526611E0
6.552012000E-1;1.597388554E1;-2.079063892E0;4.848456860E0
6.576496900E-1;1.579920959E1;-2.246860504E0;4.740480900E0
6.600973460E-1;1.561735535E1;-2.335394859E0;4.618446827E0
6.625459400E-1;1.538734531E1;-2.431107759E0;4.517948151E0
6.649952110E-1;1.515284824E1;-2.522035122E0;4.434199333E0
6.674437530E-1;1.494915962E1;-2.629712105E0;4.393521309E0
6.698914090E-1;1.485105419E1;-2.754437923E0;4.405485630E0
6.723399500E-1;1.477926922E1;-2.862114906E0;4.369593143E0
6.747892730E-1;1.470987701E1;-2.914757013E0;4.266701698E0
6.772378150E-1;1.486062527E1;-2.926721096E0;4.393521309E0
6.796854710E-1;1.572981739E1;-2.720938444E0;5.760421276E0
