"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
6.269675550E-1;1.848423839E0;-3.505957842E0;5.064076424E0
6.294152110E-1;1.848423839E0;-3.444873095E0;4.990774632E0
6.318637530E-1;1.848423839E0;-3.381345034E0;4.913807869E0
6.343130750E-1;1.838650227E0;-3.316595078E0;4.829511166E0
6.367616170E-1;1.827654958E0;-3.255510569E0;4.743992329E0
6.392092730E-1;1.810551286E0;-3.188317299E0;4.656030655E0
6.416578150E-1;1.792225838E0;-3.112572193E0;4.570511818E0
6.441071380E-1;1.765348554E0;-3.027053595E0;4.484993458E0
6.465556280E-1;1.739693046E0;-2.939091682E0;4.401917934E0
6.490033360E-1;1.711593986E0;-2.846242905E0;4.327394485E0
6.514518780E-1;1.682273388E0;-2.758280754E0;4.261423111E0
6.539012000E-1;1.656617761E0;-2.673983812E0;4.202781677E0
6.563496900E-1;1.634627223E0;-2.590908766E0;4.152692318E0
6.587973460E-1;1.610193372E0;-2.509055138E0;4.108711243E0
6.612459400E-1;1.588202834E0;-2.432088375E0;4.069617271E0
6.636952110E-1;1.564990640E0;-2.358786583E0;4.030522823E0
6.661437530E-1;1.540556788E0;-2.281819820E0;3.996315479E0
6.685914090E-1;1.516122937E0;-2.203478813E0;3.959664583E0
6.710399500E-1;1.490467310E0;-2.122846842E0;3.923013926E0
6.734892730E-1;1.468476772E0;-2.049545288E0;3.880254507E0
6.759378150E-1;1.445264578E0;-1.988460541E0;3.836273432E0
6.783854710E-1;1.445264578E0;-1.902941942E0;3.773967028E0
6.808340130E-1;1.478250384E0;-1.788102627E0;3.682339907E0
6.832833360E-1;1.524674773E0;-1.690367103E0;3.580939293E0
6.857318250E-1;1.568655729E0;-1.631725788E0;3.494199038E0
6.881795340E-1;1.602863193E0;-1.602405071E0;3.418453932E0
6.906280750E-1;1.627297044E0;-1.590188146E0;3.354925871E0
6.930773980E-1;1.628518820E0;-1.603626728E0;3.282845974E0
6.955258880E-1;1.612636805E0;-1.612178683E0;3.188775301E0
6.979735440E-1;1.584537745E0;-1.591409802E0;3.082488060E0
7.004221380E-1;1.549108624E0;-1.549872160E0;2.981087446E0
7.028714610E-1;1.489245653E0;-1.511999726E0;2.886864185E0
7.053199500E-1;1.412278891E0;-1.469240427E0;2.806232214E0
7.077676070E-1;1.319430113E0;-1.417929173E0;2.741482496E0
7.102162000E-1;1.214364409E0;-1.364174604E0;2.692614794E0
7.126654710E-1;1.095860004E0;-1.316528559E0;2.654742241E0
7.151140130E-1;9.651386738E-1;-1.278656006E0;2.619313002E0
7.175616690E-1;8.222004175E-1;-1.256665468E0;2.580218792E0
7.200102110E-1;6.707102656E-1;-1.237118363E0;2.539902925E0
7.224595340E-1;5.228852630E-1;-1.218793035E0;2.492256880E0
7.249080750E-1;3.762819171E-1;-1.193137407E0;2.438502312E0
7.273557320E-1;2.431172132E-1;-1.162595034E0;2.381082535E0
7.298042730E-1;1.319430023E-1;-1.111283898E0;2.327327967E0
7.322535960E-1;3.298575059E-2;-1.051420808E0;2.278460264E0
7.347020860E-1;-5.008947477E-2;-9.720106721E-1;2.243031025E0
7.371497420E-1;-1.099525094E-1;-8.840487003E-1;2.225927353E0
7.395983360E-1;-1.466033459E-1;-7.863131166E-1;2.219818830E0
7.420476590E-1;-1.759240031E-1;-7.154548764E-1;2.223484039E0
7.444961480E-1;-1.991362125E-1;-6.690304875E-1;2.227149010E0
7.469438050E-1;-2.247917950E-1;-6.421532035E-1;2.229592562E0
7.493923980E-1;-2.418955117E-1;-6.323796511E-1;2.222262383E0
7.518416690E-1;-2.541124523E-1;-6.445965767E-1;2.211266994E0
7.542902110E-1;-2.663294077E-1;-6.690304875E-1;2.197828531E0
7.567378670E-1;-2.638860047E-1;-7.007945180E-1;2.178281307E0
7.591864610E-1;-2.504473627E-1;-7.337802649E-1;2.158734322E0
7.616357320E-1;-2.260134816E-1;-7.716528177E-1;2.135522127E0
7.640842730E-1;-1.881409585E-1;-8.046385646E-1;2.112309933E0
7.665319300E-1;-1.429382563E-1;-8.400676847E-1;2.080545664E0
7.689804710E-1;-9.040539712E-2;-8.791618943E-1;2.046338320E0
