iso3	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
KEN	NA	NA	NA	NA	76	82	80	86	90	90	92	94	96	96	97	97	96	96	99	88	91	94	91	87	87	85	92	92	98	99	99	99	97	92	94	87	99	89	95	93	92	97	97
KIR	66	68	91	72	54	62	65	68	98	99	93	94	79	87	60	47	99	99	97	70	80	85	88	91	94	93	91	90	83	76	87	86	95	86	72	79	79	89	90	92	93	96	96
KWT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84	94	99	99	98	99	97	99	99	99	96	99	96	97	98	99	99
KGZ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	95	97	96	99	97	94	99	96	99	99	99	98	96	99	98	99	98	98	98	98	98	97	97	97	97	97	96	96	97	97
LAO	NA	4	6	7	7	8	10	15	27	29	26	34	34	42	69	62	61	58	56	63	69	60	65	65	60	65	61	56	68	67	72	78	85	87	89	89	89	91	92	85	90	80	90
LVA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	91	99	99	99	99	99	99	99	99	99	97	98	97	95	95	95	96	92	93	94	94	92	93	96	96	95	96	99	96	99
LSO	81	81	84	87	89	91	88	84	86	87	89	90	92	93	95	96	95	94	93	92	88	83	90	96	96	96	95	95	95	92	90	87	93	98	97	95	96	96	96	96	96	96	85
LBR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	78	73	69	64	60	76	77	77	85	87	73	85	85	87	73	74	81	87	92	84	85	81	67
LBY	88	78	89	84	85	87	92	95	92	90	90	95	99	99	99	99	97	97	97	97	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	74	74	74	74	74
LTU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	98	96	97	98	98	99	99	99	99	99	99	99	99	99	99	99	99	99	98	98	98	98	97	98	97	96	97	96	93	93
MDG	21	26	22	31	28	31	49	54	70	72	67	75	77	77	77	72	67	67	70	72	72	73	73	77	85	92	95	94	83	78	76	82	74	70	64	56	74	74	77	79	75	52	63
MWI	NA	86	87	81	74	87	87	92	90	96	97	96	98	96	94	97	95	99	99	87	83	93	78	91	97	99	99	95	97	95	97	99	99	96	97	90	86	89	92	91	87	89	84
MYS	94	91	95	94	95	95	96	98	99	99	99	99	99	98	97	98	98	98	98	99	99	98	98	99	99	98	98	99	99	99	99	99	99	99	99	99	98	99	98	99	99	99	98
MDV	7	8	20	27	36	45	54	62	98	98	99	99	99	89	98	99	99	99	99	98	99	98	99	98	98	97	99	98	98	99	97	98	99	99	99	99	99	99	99	99	99	99	99
MLI	NA	19	23	26	30	33	37	51	64	85	82	68	70	74	75	76	80	84	79	78	69	75	82	74	76	83	86	86	86	84	82	84	77	70	73	78	82	83	83	83	78	83	83
MLT	NA	NA	NA	63	63	65	72	79	67	79	77	87	79	77	77	92	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MHL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	71	72	88	96	71	98	94	81	81	89	99	90	93	91	93	92	92	95	98	99	80	97	93	89	99	94	92	98	89	91	83	95
MRT	NA	57	61	66	70	74	73	77	79	79	79	80	81	84	82	80	79	78	77	75	78	95	99	96	94	91	86	92	89	81	85	86	95	95	93	85	86	88	89	90	82	79	88
MUS	89	87	89	88	88	87	88	87	88	88	87	87	87	87	87	86	86	87	87	86	88	89	87	99	99	99	97	98	96	95	99	99	99	99	97	98	98	99	99	99	96	95	97
MEX	48	41	50	52	47	16	54	71	72	80	67	89	94	93	97	98	99	99	99	99	99	99	99	99	99	99	99	99	99	99	98	99	99	91	96	98	99	94	96	76	28	99	95
FSM	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	12	50	50	50	50	50	49	48	52	39	24	39	52	64	62	70	55	82	79	75	70	75	78	70	73	76	85	83	80	77	84	59	75
MCO	NA	NA	NA	NA	NA	NA	NA	NA	99	99	99	99	98	94	90	90	93	95	99	99	97	94	92	89	89	89	89	89	89	89	89	89	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MNG	51	53	52	52	52	52	54	60	78	92	81	85	83	84	90	94	90	96	95	97	97	98	98	98	98	99	98	99	98	98	99	99	99	99	99	99	99	99	99	99	99	99	99
MNE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	98	98	95	95	97	95	93	91	88	85	83	93	80	67	76	86
MAR	NA	NA	50	62	70	77	83	92	92	91	96	96	97	99	97	96	96	94	90	93	97	93	92	92	95	95	95	96	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
MOZ	NA	46	56	59	49	47	45	52	49	53	59	63	64	66	78	78	78	80	81	83	84	86	87	90	90	90	90	90	90	90	90	91	92	93	94	94	94	94	93	93	91	79	79
MMR	9	15	20	28	36	45	28	54	60	66	95	69	77	80	83	90	92	94	95	90	88	75	82	80	85	76	85	89	88	93	93	93	87	86	92	94	88	91	90	91	87	48	79
NAM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	92	92	99	92	79	65	85	80	77	69	81	92	94	95	88	95	88	85	88	89	90	94	97	94	89	94	96	98	99	93	93
NRU	NA	NA	NA	NA	81	81	87	93	95	96	93	90	86	84	81	78	78	78	89	95	93	99	99	97	93	90	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
NPL	22	32	59	53	58	67	67	62	66	70	74	74	75	75	76	76	81	86	81	93	84	84	85	91	85	87	93	89	87	94	94	97	96	97	99	94	93	95	96	96	92	95	96
NIC	34	66	83	89	98	99	99	94	91	94	84	74	91	91	92	93	94	95	92	99	96	97	93	94	88	88	98	98	99	99	99	99	99	99	99	99	99	99	99	99	93	86	89
NER	NA	28	28	28	28	28	28	28	27	32	50	38	38	34	32	53	53	48	48	47	50	53	56	58	61	64	69	73	78	86	81	53	85	43	87	94	91	92	87	70	94	95	95
NGA	NA	23	21	19	16	28	40	47	54	61	80	60	57	52	55	42	43	29	49	46	44	41	38	42	45	49	52	53	65	76	62	57	51	51	51	53	64	67	71	75	74	74	74
NIU	85	99	80	60	41	41	71	99	99	99	99	99	99	99	99	92	99	99	99	99	99	99	99	99	96	97	99	99	99	99	99	99	99	99	99	99	92	99	99	99	94	88	99
