"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.229063083E0;6.354278922E-1;4.128270745E-1;3.853971958E-1
2.239095083E0;6.521413326E-1;3.255531490E-1;5.403577685E-1
2.249128083E0;7.561514378E-1;9.179043770E-2;6.917301416E-1
2.259160750E0;9.286057949E-1;-1.647393405E-1;7.369428873E-1
2.269193750E0;1.054486752E0;-2.911154330E-1;6.703992486E-1
2.279225750E0;1.023622036E0;-4.256868362E-1;5.788778663E-1
2.289257750E0;8.826308250E-1;-5.066221952E-1;4.623521566E-1
2.299290750E0;7.227788568E-1;-4.523129165E-1;3.628159761E-1
2.309322750E0;5.846102238E-1;-3.201784492E-1;3.118486702E-1
2.319355750E0;4.964921474E-1;-2.032970935E-1;2.772185206E-1
2.329387750E0;3.932959139E-1;-4.912081361E-2;1.796198636E-1
2.339420750E0;3.074329495E-1;1.608561277E-1;6.867070496E-2
2.349452750E0;2.886786759E-1;3.368266523E-1;1.411405485E-2
2.359484750E0;4.524857104E-1;2.488419414E-1;4.689091071E-2
2.369517750E0;7.422636747E-1;1.834981330E-2;9.331833571E-4
2.379549750E0;8.941125870E-1;-9.027945995E-2;-1.245014369E-1
2.389582750E0;8.526038527E-1;-5.770018697E-2;-2.599692047E-1
2.399614750E0;6.212127209E-1;1.793778837E-1;-3.408025503E-1
2.409647750E0;2.714504302E-1;2.494397014E-1;-3.400436938E-1
2.419679750E0;-2.186420560E-1;5.946743488E-1;-2.353420556E-1
2.429711750E0;-6.222941279E-1;3.508066535E-1;2.424235828E-2
2.439744750E0;-7.380550504E-1;-5.179841518E-1;1.680629104E-1
2.449776750E0;-1.110152721E0;-7.260410786E-1;1.646987498E-1
2.459809750E0;-1.019104838E0;-4.593968689E-1;-2.037381381E-1
2.469841750E0;-1.068084240E0;-4.158458114E-1;-5.438338518E-1
2.479874750E0;-1.213670254E0;-6.267436743E-1;-7.532744408E-1
2.489906750E0;-1.315437794E0;-6.744745374E-1;-9.209771156E-1
2.499938750E0;-1.322157979E0;-5.393111110E-1;-1.002462626E0
2.509971750E0;-1.309694052E0;-3.522999883E-1;-9.820209146E-1
2.520003750E0;-1.343899965E0;-2.123863250E-1;-9.688057899E-1
2.530036750E0;-1.329832911E0;-9.490758181E-2;-1.038231373E0
2.540068750E0;-1.231222749E0;7.256050408E-2;-1.149096370E0
2.550101750E0;-1.050038099E0;2.076971680E-1;-1.202853918E0
2.560133750E0;-8.148710728E-1;2.527759373E-1;-1.229867697E0
2.570165750E0;-5.667428374E-1;2.008765638E-1;-1.265412331E0
2.580198750E0;-3.725936115E-1;6.780453771E-2;-1.311045527E0
2.590230750E0;-2.847374380E-1;-1.373529434E-1;-1.431395769E0
2.600263750E0;-3.117392361E-1;-3.673491478E-1;-1.602459669E0
2.610295750E0;-4.020147324E-1;-5.057078004E-1;-1.766308665E0
2.620328750E0;-5.556733012E-1;-4.610276222E-1;-1.754124165E0
2.630360750E0;-7.045105100E-1;-3.054777980E-1;-1.319206834E0
2.640392750E0;-7.286806107E-1;-2.278669029E-1;-6.932520270E-1
2.650425750E0;-6.109557748E-1;-3.716133833E-1;-2.299633771E-1
2.660457750E0;-3.565775454E-1;-7.285507321E-1;-6.970154494E-2
2.670490750E0;-5.565400794E-2;-1.088660836E0;-1.333083510E-1
2.680522750E0;2.274064571E-1;-1.296376467E0;-2.014384121E-1
2.690555750E0;3.788575232E-1;-1.179737687E0;-6.793995202E-2
2.700587750E0;5.047518015E-1;-8.620340228E-1;3.536805883E-2
2.710620750E0;6.010050178E-1;-6.465841532E-1;1.020432413E-1
2.720652750E0;6.124858856E-1;-4.201129079E-1;1.766074896E-1
2.730684750E0;5.659787655E-1;-2.346496880E-1;1.426814944E-1
2.740717750E0;5.142319798E-1;-2.967985570E-1;3.779130057E-2
2.750749750E0;3.502601683E-1;-5.332217813E-1;-9.821353853E-2
2.760782750E0;3.466573730E-2;-7.103129625E-1;-2.008589506E-1
2.770814750E0;-4.161511064E-1;-6.256508231E-1;-3.062660992E-1
2.780847750E0;-9.574412107E-1;-2.479016632E-1;-3.875311315E-1
2.790879750E0;-1.460265994E0;3.361025080E-2;-4.971666634E-1
2.800911750E0;-1.915251017E0;1.436971128E-2;-7.204247713E-1
2.810944750E0;-2.263167381E0;7.197567821E-2;-1.027137160E0
2.820976750E0;-1.754137039E0;1.998233795E-1;-9.805667400E-1
2.831009750E0;-1.135078907E0;3.033169806E-1;-4.164496660E-1
2.841041750E0;-1.044936553E-1;1.154954061E-1;9.275735915E-2
2.851074750E0;6.548761129E-1;1.417609006E-1;4.778351486E-1
2.861106750E0;7.019349337E-1;8.556899428E-2;6.734190583E-1
2.871138750E0;3.665709496E-1;-1.247269846E-2;6.322408319E-1
2.881171750E0;1.557029337E-1;-1.772587150E-1;3.582316339E-1
2.891203750E0;1.938732713E-1;-5.783185959E-1;-1.134467721E-1
2.901236750E0;2.424184382E-1;-1.146901488E0;-4.814969599E-1
2.911268750E0;3.514217138E-1;-1.650647521E0;-5.323811769E-1
2.921300750E0;2.958644629E-1;-1.610211730E0;-4.240213633E-1
2.931333750E0;7.328778505E-3;-1.395818233E0;-3.694035709E-1
2.941365750E0;-3.822181821E-1;-1.228251576E0;-2.433292568E-1
2.951398750E0;-6.247907877E-1;-9.696146250E-1;-1.224222928E-1
2.961430750E0;-4.298245013E-1;-7.828798890E-1;-1.322624087E-1
2.971463750E0;-1.619527042E-1;-3.920184821E-2;-2.587960362E-1
2.981495750E0;-4.097062722E-2;1.276146173E0;-4.630833864E-1
2.991527750E0;-1.131593063E-1;2.701511145E0;-8.175548911E-1
3.001560750E0;-3.127062321E-1;3.356132269E0;-1.260113358E0
3.011592750E0;-5.469081998E-1;3.443321466E0;-1.306789398E0
3.021625750E0;-5.428591371E-1;3.619891167E0;-1.150390744E0
3.031657750E0;-6.571947932E-1;3.953306913E0;-9.571851492E-1
3.041690750E0;-8.117441535E-1;3.592044115E0;-7.164478898E-1
3.051722750E0;-6.778179407E-1;2.903503895E0;-8.490049839E-1
3.061755750E0;-3.232952356E-1;1.736671209E0;-1.052160263E0
3.071787750E0;-4.389205277E-1;8.506972194E-1;-9.958301783E-1
3.081819750E0;-9.979547858E-1;6.742169857E-1;-8.203233480E-1
3.091852750E0;-1.489691019E0;1.017788887E0;-5.752863884E-1
