"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
3.332630333E0;-7.540376347E-1;2.241440658E0;-2.825034295E0
3.342662333E0;8.158561528E-2;8.626239377E-1;6.327203353E-1
3.352695333E0;1.056957319E0;2.588030273E-1;1.999536084E0
3.362727333E0;2.892466725E0;7.697461796E-1;1.206359965E0
3.372760333E0;4.308924896E0;1.759839419E0;9.184337108E-1
3.382792333E0;4.118517335E0;1.847005032E0;5.730820978E-1
3.392825333E0;3.526820042E0;1.719005973E0;-2.968140221E-1
3.402857333E0;2.315125515E0;1.847144780E0;-4.942078364E-1
3.412889333E0;1.656546015E0;2.336893530E0;2.109665175E-1
3.422922333E0;7.504158694E-1;2.178614665E0;6.812895012E-1
3.432954333E0;-2.099051017E-1;2.259855879E0;1.204372058E0
3.442987333E0;-9.516928196E-1;2.356741903E0;1.595212816E0
3.453019333E0;-2.190161746E0;2.607979218E0;1.470990181E0
3.463051333E0;-4.129439349E0;3.307539514E0;1.362146601E0
3.473084333E0;-5.029661468E0;5.366432438E0;1.142548424E0
3.483116333E0;-4.949465151E0;9.800243921E0;-3.740228502E-1
3.493149333E0;-4.378696797E0;1.074749461E1;-3.765519464E0
3.503181333E0;-7.033754872E0;6.679381444E0;-3.189257066E0
3.513214333E0;-8.617963813E0;3.614632941E0;-2.829576120E0
3.523246333E0;-6.091228148E0;3.574895264E0;-2.705227185E0
3.533278333E0;-2.678063945E0;1.812370804E0;-1.015911327E0
3.543311333E0;3.270324326E-1;1.240099130E0;5.083044501E-1
3.553343333E0;8.877283734E-1;3.813658714E0;2.492799595E-2
3.563376333E0;7.701145542E-1;2.548972042E0;-6.874279082E-1
3.573408333E0;2.062911716E0;9.256136531E-1;-1.166493210E-1
3.583441333E0;3.356321665E0;2.284132934E-1;-9.989241426E-1
3.593473333E0;2.837038044E0;-6.233202052E-1;-2.269224288E0
3.603505333E0;2.939262577E0;-1.342518375E0;-2.466143893E0
3.613538333E0;3.040559741E0;-1.698332557E0;-2.465713830E0
3.623570333E0;2.036105740E0;-2.490955383E0;-2.181623934E0
3.633603333E0;2.168228840E0;-2.553920540E0;-2.442152767E0
3.643635333E0;2.011807051E0;-2.939430977E0;-1.976036124E0
3.653667333E0;2.220614045E0;-4.116885377E0;-1.919785910E0
3.663700333E0;3.481773092E0;-5.671167684E0;-2.767615807E0
3.673732333E0;3.555573725E0;-5.541595724E0;-2.217297797E0
3.683765333E0;3.162934948E0;-4.525133881E0;-7.622649595E-1
3.693797333E0;2.236350072E0;-3.800458624E0;7.808079422E-1
3.703830333E0;1.240568954E0;-2.643232082E0;2.279423878E0
3.713862333E0;3.006755233E-2;-2.312818204E0;2.982718206E0
3.723894333E0;-6.088907388E-1;-4.355038378E0;2.784627989E0
3.733927333E0;6.442731178E-1;-4.023495403E0;2.481798936E0
3.743959333E0;6.942978019E-1;-2.513778235E0;1.278916164E0
3.753992333E0;-2.325984380E-1;-7.775861263E-2;1.539127493E-1
3.764024333E0;-1.175573644E0;4.615663397E-1;-1.352004313E0
3.774057333E0;-1.883302500E0;-1.402738264E0;-1.573037251E0
3.784089333E0;2.275750950E-1;-2.625054258E0;-7.439669752E-1
3.794121333E0;2.201331390E0;-3.086887815E0;1.023218300E0
3.804154333E0;2.655838094E0;-2.689417484E0;2.551193984E0
3.814186333E0;1.732737866E0;-1.415678152E0;3.520783668E0
3.824219333E0;2.089461583E-1;4.598659694E-2;3.632553780E0
