"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
2.306040917E0;2.142641135E-2;3.526274562E-1;1.125477701E-1
2.316002917E0;3.180644810E-1;4.172434509E-1;1.428319067E-1
2.325963917E0;6.540806890E-1;3.060089946E-1;2.238664776E-1
2.335925917E0;9.784682989E-1;1.192090288E-1;3.235086203E-1
2.345887917E0;1.197506785E0;-2.294524312E-1;5.573273301E-1
2.355848917E0;1.308478236E0;-2.476551533E-1;8.072546124E-1
2.365810917E0;1.233123660E0;5.704373121E-2;1.057318330E0
2.375771917E0;1.155066729E0;6.611020118E-2;1.096932054E0
2.385733917E0;1.364186049E0;-1.266552806E-1;8.628338575E-1
2.395695917E0;1.587992787E0;-4.875628948E-1;7.263686657E-1
2.405656917E0;1.671511054E0;-7.104331255E-1;9.276167750E-1
2.415618917E0;1.831771851E0;-6.716500521E-1;1.157697558E0
2.425579917E0;1.836667299E0;-6.664891839E-1;1.136613607E0
2.435541917E0;1.821818590E0;-6.354641318E-1;1.278870344E0
2.445503917E0;1.785406351E0;-2.696576118E-1;1.538390636E0
2.455464917E0;1.665543914E0;3.226611018E-1;1.831930876E0
2.465426917E0;1.354082227E0;8.983255625E-1;2.044618130E0
2.475387917E0;7.671763897E-1;9.053557515E-1;2.081324100E0
2.485349917E0;5.018336326E-2;3.912983835E-1;1.995360732E0
2.495310917E0;-4.057777822E-1;9.442364797E-3;1.904453516E0
2.505272917E0;-5.610986352E-1;1.155328453E-1;1.763466477E0
2.515234917E0;-5.862961411E-1;5.040240884E-1;1.531700134E0
2.525195917E0;-6.465179324E-1;7.346727848E-1;1.227296114E0
2.535157917E0;-7.551181912E-1;6.557617188E-1;9.062266946E-1
2.545118917E0;-9.197742343E-1;5.635868311E-1;6.927779317E-1
2.555081292E0;-1.177793741E0;4.742878675E-1;6.723517179E-1
2.565043292E0;-1.477137327E0;3.354898393E-1;8.559106588E-1
2.575004292E0;-1.692889333E0;3.069319725E-1;1.137647510E0
2.584966292E0;-1.721258521E0;4.019230008E-1;1.373836637E0
2.594927292E0;-1.592649937E0;3.653311431E-1;1.551592708E0
2.604889292E0;-1.358504653E0;3.952166736E-1;1.712509513E0
2.614850292E0;-1.058772683E0;6.528383493E-1;1.748654246E0
2.624812292E0;-7.391324043E-1;9.449366927E-1;1.674246788E0
2.634774292E0;-3.846318722E-1;1.048216581E0;1.710087061E0
2.644735292E0;1.258011907E-4;1.049334764E0;1.908256769E0
2.654697292E0;3.184755445E-1;1.010958672E0;2.091905594E0
2.664658292E0;5.240650773E-1;9.269239902E-1;2.186227798E0
2.674620292E0;6.241914034E-1;8.525501490E-1;2.232565880E0
2.684582292E0;6.364757419E-1;8.685876727E-1;2.265564442E0
2.694543292E0;5.723431110E-1;1.017360330E0;2.320363522E0
2.704505292E0;4.369372427E-1;1.240087986E0;2.393482447E0
2.714466292E0;1.851116568E-1;1.252266049E0;2.349938631E0
2.724428292E0;-2.836387753E-1;9.236211181E-1;2.061470747E0
2.734389292E0;-6.224480271E-1;7.628726959E-1;1.874439597E0
2.744351292E0;-7.170485258E-1;8.534107208E-1;1.762628675E0
2.754313292E0;-6.341128945E-1;1.043217421E0;1.592649221E0
2.764274292E0;-4.464841485E-1;1.292841315E0;1.406916380E0
2.774236292E0;-2.539839447E-1;1.409592748E0;1.251597643E0
2.784197292E0;-1.141233444E-1;1.350813985E0;1.140735626E0
2.794159292E0;-3.841686994E-2;1.137473226E0;1.084509373E0
2.804121292E0;-4.544775002E-4;9.399806261E-1;1.010606170E0
2.814082292E0;4.329699650E-2;7.022250295E-1;9.402491450E-1
2.824044292E0;3.114151210E-2;5.124804378E-1;9.179034829E-1
2.834005292E0;-5.304127559E-2;3.203586340E-1;9.818169475E-1
2.843967292E0;-1.651041359E-1;1.374413371E-1;1.025224805E0
2.853928292E0;-2.892015874E-1;9.351622313E-2;1.023410082E0
2.863890292E0;-4.635322690E-1;1.720797122E-1;9.342328906E-1
2.873852292E0;-6.371565461E-1;2.448436618E-1;7.815467119E-1
2.883813292E0;-7.296786308E-1;1.645029038E-1;5.492036343E-1
2.893775292E0;-6.821121573E-1;2.147652023E-2;3.847203851E-1
2.903736292E0;-5.992955565E-1;-1.420985758E-1;3.143428862E-1
2.913698292E0;-5.115851760E-1;-3.653561473E-1;3.444563150E-1
2.923660292E0;-4.204912782E-1;-6.334884763E-1;4.945687652E-1
2.933621292E0;-3.199050128E-1;-8.555670977E-1;7.415977120E-1
2.943583292E0;-2.743855119E-1;-9.259010553E-1;1.022884488E0
2.953544292E0;-3.737083673E-1;-9.061486721E-1;1.308133841E0
2.963506292E0;-6.023231149E-1;-9.603942037E-1;1.587451935E0
2.973467292E0;-9.352744818E-1;-9.741784334E-1;1.865247607E0
2.983429292E0;-1.255365729E0;-8.558953404E-1;2.164994478E0
2.993391292E0;-1.473878026E0;-5.857765079E-1;2.542946100E0
3.003352292E0;-1.591359377E0;-3.356367648E-1;3.021158695E0
3.013314292E0;-1.626825213E0;-2.806113362E-1;3.473058701E0
3.023275292E0;-1.528664947E0;-9.633882344E-2;3.813622952E0
3.033237292E0;-1.291004181E0;1.211112067E-1;4.023070335E0
3.043198292E0;-1.074986935E0;1.575080454E-1;4.125982761E0
3.053160292E0;-9.509366751E-1;-1.815155447E-1;4.131167412E0
3.063122292E0;-7.996853590E-1;-6.563611627E-1;3.951853275E0
3.073083292E0;-6.565691829E-1;-1.253855467E0;3.733558655E0
3.083045292E0;-4.673502445E-1;-1.857951760E0;3.441907167E0
3.093006292E0;-3.920368552E-1;-2.213759422E0;3.079850912E0
3.102968292E0;-6.300740838E-1;-2.300535679E0;2.508819103E0
3.112930292E0;-1.244394779E0;-1.904763579E0;1.734160900E0
3.122891292E0;-1.832489967E0;-1.628143191E0;1.002950788E0
3.132853292E0;-2.026996374E0;-1.309570551E0;4.087792933E-1
3.142814292E0;-1.826114058E0;-1.056375742E0;-9.880147874E-2
3.152776292E0;-1.413529158E0;-1.070879579E0;-3.388143480E-1
3.162737292E0;-5.875641704E-1;-1.620092154E0;4.889279902E-1
3.172699292E0;-2.807253897E-1;-2.549699545E0;2.559577703E0
3.182661292E0;-3.090048730E-1;-2.412552595E0;3.109460115E0
3.192622292E0;-8.431282043E-1;-1.571116686E0;1.136120915E0
3.202584292E0;-1.322165370E0;-4.450542033E-1;-7.132198215E-1
3.212545292E0;-1.401082277E0;-4.206388891E-1;-1.479573965E0
3.222507292E0;-1.039956808E0;-1.283684611E0;-1.307914138E0
3.232469292E0;-5.399149656E-1;-1.497102976E0;-9.874690175E-1
3.242430292E0;-9.932589531E-2;-1.407342553E0;-8.859239221E-1
3.252392292E0;1.982091218E-1;-1.445031643E0;-7.494869828E-1
3.262353292E0;3.389193416E-1;-1.545995355E0;-5.575115681E-1
3.272315292E0;4.311720133E-1;-1.593070984E0;-3.944949508E-1
3.282276292E0;5.336401463E-1;-1.628880858E0;-2.369442135E-1
3.292238292E0;6.532136798E-1;-1.671649933E0;-9.993523359E-2
3.302200292E0;7.858895063E-1;-1.735898376E0;4.835257307E-2
3.312161292E0;9.136296511E-1;-1.786432385E0;2.136770785E-1
3.322123292E0;1.039330482E0;-1.758008242E0;3.830866814E-1
3.332084292E0;1.137894630E0;-1.688864231E0;5.565434694E-1
3.342046292E0;1.226750612E0;-1.510760903E0;7.070013285E-1
3.352007292E0;1.292105913E0;-1.266337037E0;8.111119866E-1
3.361969292E0;1.302705765E0;-1.040454507E0;8.233271837E-1
3.371931292E0;1.241283417E0;-8.586543202E-1;7.430914640E-1
3.381892292E0;1.117088199E0;-6.938799620E-1;6.170588136E-1
3.391854292E0;9.316281080E-1;-5.495963097E-1;4.913130999E-1
3.401815292E0;6.882083416E-1;-4.225509465E-1;3.475791216E-1
3.411777292E0;3.260141909E-1;-4.616283178E-1;2.243434638E-1
3.421739292E0;-1.575436443E-1;-6.143375039E-1;5.844908208E-2
3.431700292E0;-6.582610607E-1;-7.802124619E-1;-1.675499678E-1
3.441662292E0;-9.968860149E-1;-8.669943213E-1;-3.633758426E-1
3.451623292E0;-1.051786304E0;-6.682586074E-1;-4.626723528E-1
3.461585292E0;-8.781240582E-1;-2.992313802E-1;-5.002921820E-1
3.471546292E0;-5.872604847E-1;-4.743855074E-2;-4.918696880E-1
3.481508292E0;-2.814319432E-1;-1.099456549E-1;-4.154407680E-1
3.491470292E0;5.927157775E-2;-3.489108086E-1;-2.355575413E-1
3.501431292E0;4.429527819E-1;-4.041987658E-1;7.097514719E-2
3.511393292E0;7.056565285E-1;-2.626775801E-1;2.944836020E-1
3.521354292E0;7.460401058E-1;-1.762787402E-1;3.686852157E-1
3.531316292E0;5.421245098E-1;2.953114174E-2;3.638039231E-1
3.541278292E0;1.285509318E-1;3.797645569E-1;2.084079981E-1
3.551239292E0;-2.331662625E-1;6.889074445E-1;1.305390298E-1
3.561201542E0;-2.940785289E-1;7.264321446E-1;1.428996958E-2
3.571162542E0;-6.271825731E-2;4.981193244E-1;-1.572330445E-1
3.581124542E0;3.667317331E-1;4.867793247E-2;-2.906184793E-1
3.591085542E0;7.961869240E-1;-4.451474845E-1;-3.200743794E-1
3.601047542E0;1.080303550E0;-6.580837965E-1;-2.773638070E-1
3.611009542E0;1.248391390E0;-4.852840304E-1;-8.932944387E-2
3.620970542E0;1.305493474E0;-2.242765278E-1;2.409134358E-1
3.630932542E0;1.227734566E0;-4.783785343E-2;5.373355150E-1
3.640893542E0;1.025132298E0;4.158810154E-2;7.102718353E-1
3.650855542E0;7.879882455E-1;-1.190042309E-2;8.672323823E-1
3.660816542E0;5.710375309E-1;-1.934313327E-1;1.060527205E0
3.670778542E0;4.537702799E-1;-5.385447741E-1;1.256338954E0
3.680740542E0;5.700425506E-1;-1.112995028E0;1.448012471E0
3.690701542E0;9.163512588E-1;-1.861758828E0;1.526107073E0
3.700663542E0;1.439447641E0;-2.490834951E0;1.336867571E0
